total_rps:1993.3; ('/recommendations','GET')_rps:770.8;('/recommendations','GET')_p95:11895.7;('/recommendations','GET')_p99:12014.9;('/recommendations','GET')_avg:10225.9; ('/user','POST')_rps:9.8;('/user','POST')_p95:11918.4;('/user','POST')_p99:12023.9;('/user','POST')_avg:10189.6; ('/hotels','GET')_rps:1202.0;('/hotels','GET')_p95:11896.1;('/hotels','GET')_p99:12013.3;('/hotels','GET')_avg:10233.5; ('/reservation','POST')_rps:10.7;('/reservation','POST')_p95:11894.1;('/reservation','POST')_p99:12025.0;('/reservation','POST')_avg:10253.1
total_rps:2017.7; ('/recommendations','GET')_rps:776.7;('/recommendations','GET')_p95:11891.8;('/recommendations','GET')_p99:12006.7;('/recommendations','GET')_avg:10248.9; ('/user','POST')_rps:10.9;('/user','POST')_p95:11914.2;('/user','POST')_p99:12023.0;('/user','POST')_avg:10217.0; ('/hotels','GET')_rps:1218.5;('/hotels','GET')_p95:11892.5;('/hotels','GET')_p99:12004.9;('/hotels','GET')_avg:10256.7; ('/reservation','POST')_rps:11.6;('/reservation','POST')_p95:11890.6;('/reservation','POST')_p99:12024.0;('/reservation','POST')_avg:10279.7
total_rps:2007.6; ('/recommendations','GET')_rps:778.1;('/recommendations','GET')_p95:11889.5;('/recommendations','GET')_p99:12000.6;('/recommendations','GET')_avg:10266.3; ('/user','POST')_rps:10.3;('/user','POST')_p95:11896.2;('/user','POST')_p99:12021.5;('/user','POST')_avg:10235.7; ('/hotels','GET')_rps:1208.5;('/hotels','GET')_p95:11889.7;('/hotels','GET')_p99:11998.6;('/hotels','GET')_avg:10273.9; ('/reservation','POST')_rps:10.7;('/reservation','POST')_p95:11888.9;('/reservation','POST')_p99:12021.5;('/reservation','POST')_avg:10297.6
total_rps:2023.9; ('/recommendations','GET')_rps:779.3;('/recommendations','GET')_p95:11887.9;('/recommendations','GET')_p99:11991.6;('/recommendations','GET')_avg:10279.2; ('/user','POST')_rps:10.3;('/user','POST')_p95:11891.8;('/user','POST')_p99:12020.0;('/user','POST')_avg:10250.0; ('/hotels','GET')_rps:1225.3;('/hotels','GET')_p95:11887.9;('/hotels','GET')_p99:11989.5;('/hotels','GET')_avg:10286.7; ('/reservation','POST')_rps:9.1;('/reservation','POST')_p95:11887.3;('/reservation','POST')_p99:12019.6;('/reservation','POST')_avg:10308.4
total_rps:2041.4; ('/recommendations','GET')_rps:792.9;('/recommendations','GET')_p95:11885.9;('/recommendations','GET')_p99:11987.9;('/recommendations','GET')_avg:10284.7; ('/user','POST')_rps:11.4;('/user','POST')_p95:11889.5;('/user','POST')_p99:12017.3;('/user','POST')_avg:10257.3; ('/hotels','GET')_rps:1227.0;('/hotels','GET')_p95:11885.9;('/hotels','GET')_p99:11986.8;('/hotels','GET')_avg:10292.0; ('/reservation','POST')_rps:10.1;('/reservation','POST')_p95:11884.9;('/reservation','POST')_p99:12018.3;('/reservation','POST')_avg:10313.5
total_rps:2024.9; ('/recommendations','GET')_rps:783.1;('/recommendations','GET')_p95:11883.8;('/recommendations','GET')_p99:11985.8;('/recommendations','GET')_avg:10283.5; ('/user','POST')_rps:12.4;('/user','POST')_p95:11886.6;('/user','POST')_p99:12015.0;('/user','POST')_avg:10257.6; ('/hotels','GET')_rps:1219.8;('/hotels','GET')_p95:11883.8;('/hotels','GET')_p99:11983.6;('/hotels','GET')_avg:10290.7; ('/reservation','POST')_rps:9.7;('/reservation','POST')_p95:11884.0;('/reservation','POST')_p99:12016.8;('/reservation','POST')_avg:10311.3
total_rps:1984.6; ('/recommendations','GET')_rps:774.1;('/recommendations','GET')_p95:11882.2;('/recommendations','GET')_p99:11983.4;('/recommendations','GET')_avg:10281.2; ('/user','POST')_rps:9.9;('/user','POST')_p95:11885.0;('/user','POST')_p99:12012.6;('/user','POST')_avg:10255.8; ('/hotels','GET')_rps:1189.9;('/hotels','GET')_p95:11882.3;('/hotels','GET')_p99:11982.8;('/hotels','GET')_avg:10288.3; ('/reservation','POST')_rps:10.7;('/reservation','POST')_p95:11882.4;('/reservation','POST')_p99:12007.2;('/reservation','POST')_avg:10307.7
total_rps:1990.3; ('/recommendations','GET')_rps:772.9;('/recommendations','GET')_p95:11881.0;('/recommendations','GET')_p99:11982.3;('/recommendations','GET')_avg:10281.3; ('/user','POST')_rps:10.5;('/user','POST')_p95:11882.8;('/user','POST')_p99:12001.9;('/user','POST')_avg:10256.5; ('/hotels','GET')_rps:1198.0;('/hotels','GET')_p95:11881.0;('/hotels','GET')_p99:11981.8;('/hotels','GET')_avg:10288.2; ('/reservation','POST')_rps:9.0;('/reservation','POST')_p95:11881.7;('/reservation','POST')_p99:12003.8;('/reservation','POST')_avg:10307.3
total_rps:2008.9; ('/recommendations','GET')_rps:789.9;('/recommendations','GET')_p95:11879.7;('/recommendations','GET')_p99:11981.5;('/recommendations','GET')_avg:10283.5; ('/user','POST')_rps:9.8;('/user','POST')_p95:11881.3;('/user','POST')_p99:11996.3;('/user','POST')_avg:10259.5; ('/hotels','GET')_rps:1198.0;('/hotels','GET')_p95:11879.9;('/hotels','GET')_p99:11980.6;('/hotels','GET')_avg:10290.1; ('/reservation','POST')_rps:11.2;('/reservation','POST')_p95:11879.7;('/reservation','POST')_p99:11993.7;('/reservation','POST')_avg:10309.2
total_rps:2014.5; ('/recommendations','GET')_rps:788.5;('/recommendations','GET')_p95:11877.8;('/recommendations','GET')_p99:11979.5;('/recommendations','GET')_avg:10281.6; ('/user','POST')_rps:11.0;('/user','POST')_p95:11879.1;('/user','POST')_p99:11989.7;('/user','POST')_avg:10258.0; ('/hotels','GET')_rps:1204.7;('/hotels','GET')_p95:11878.2;('/hotels','GET')_p99:11978.5;('/hotels','GET')_avg:10288.1; ('/reservation','POST')_rps:10.3;('/reservation','POST')_p95:11878.0;('/reservation','POST')_p99:11987.6;('/reservation','POST')_avg:10306.5
